trans_date_trans_time,cc_num,merchant,category,amt,lat,long,city_pop,trans_num,unix_time,merch_lat,merch_long,is_fraud
2019-01-01 00:32:15,180067784565096,fraud_Koepp-Witting,grocery_pos,130.4,42.9385,-88.395,2328,14a6e29ac65424550ea7e7c9f551dbb8,1325377935,42.236269,-88.397336,0
2019-01-01 01:34:25,6011104316292105,fraud_Hudson-Ratke,grocery_pos,83.81,36.9688,-78.5615,1970,4e00575ea0d37490f513525361b3cfd3,1325381665,36.822396000000005,-78.452392,0
2019-01-01 01:36:48,676245600876,"fraud_Swaniawski, Lowe and Robel",shopping_pos,3.74,26.7197,-80.1248,459921,870f6880d0de3956e68e8942126527ac,1325381808,26.192035,-80.03285699999999,0
2019-01-01 01:41:24,4186530744674,fraud_Rempel Inc,shopping_net,500.92,33.3645,-81.2718,4913,837eefecce8e6e71f5634b437a982d3d,1325382084,34.3281,-81.727628,0
2019-01-01 02:00:43,374656033243756,fraud_Koepp-Parker,grocery_pos,51.6,38.8954,-77.1633,207410,76f52c6f0f35f6e2a4335e4f1b115339,1325383243,38.197108,-77.644807,0
2019-01-01 02:54:39,180067784565096,fraud_Kerluke Inc,misc_net,193.9,42.9385,-88.395,2328,24417217806ffe4a15097ca98df98321,1325386479,43.845724,-87.888665,0
2019-01-01 03:01:44,30235268718158,"fraud_Ferry, Lynch and Kautzer",misc_net,7.25,41.0592,-73.7395,11250,929b3edad0f6ff8205137cba1faa784a,1325386904,41.352385,-73.014093,0
2019-01-01 03:25:25,4186530744674,fraud_Reichel Inc,entertainment,51.64,33.3645,-81.2718,4913,cfa884e56fc171d3cec5a78cf1c958bf,1325388325,33.630045,-81.492964,0
2019-01-01 03:31:17,374497717543058,fraud_Brekke and Sons,gas_transport,52.53,47.1709,-100.7944,1190,c0e960a37210c39e740c42c24548f796,1325388677,46.339438,-100.307572,0
2019-01-01 03:42:50,4355790796238264643,fraud_Lynch Ltd,shopping_pos,7.09,39.8153,-91.2627,1656,e7f21d3a19da1b96d6f3388dc8636335,1325389370,40.738949,-91.966795,0
2019-01-01 03:51:28,571844099986,fraud_Heathcote LLC,shopping_net,909.66,38.2507,-85.7476,736284,ecea96ae40920997dd56b4e0b408d623,1325389888,39.081318,-86.30158,0
2019-01-01 03:52:20,4045036286570100739,"fraud_Rowe, Batz and Goodwin",grocery_pos,103.31,39.9458,-75.9703,3066,e97404319f3c7b9ee5f13f582f742ea0,1325389940,40.363656,-75.732708,0
2019-01-01 03:56:13,30328384440870,"fraud_Haley, Jewess and Bechtelar",shopping_pos,2.49,40.029,-93.1607,602,d5b3a6e6afe4ff2c96b5fe0355ff8b55,1325390173,39.052625,-92.428684,0
2019-01-01 04:37:10,374497717543058,"fraud_Zieme, Bode and Dooley",gas_transport,42.14,47.1709,-100.7944,1190,932de40acacefe54421005d967fbfc1e,1325392630,47.113865999999994,-101.78625,0
2019-01-01 05:06:53,4045036286570100739,fraud_Spencer PLC,entertainment,6.5,39.9458,-75.9703,3066,be6ce9997735d76e8533d461b354450b,1325394413,40.68934,-75.037038,0
2019-01-01 05:12:31,4471568287204,fraud_Kutch-Hegmann,grocery_net,105.66,36.4899,-79.4736,3402,921e0fbe8831ca93df72e22b26d8151b,1325394751,36.174356,-79.619973,0
2019-01-01 05:19:15,2254917871818484,"fraud_Raynor, Reinger and Hagenes",gas_transport,65.94,38.0828,-76.3477,313,d890787375113508f5bf226170c2affe,1325395155,37.880204,-76.895937,0
2019-01-01 05:31:12,30235268718158,fraud_Flatley-Durgan,misc_net,2.83,41.0592,-73.7395,11250,68f549352aa49cdafec4793f4d9670f5,1325395872,40.461367,-73.884005,0
2019-01-01 05:40:03,6011149206456997,fraud_Lockman Ltd,grocery_pos,103.95,39.2667,-77.5101,100,285ce83bef70c5979f9cbe619902041a,1325396403,38.686194,-77.667796,0
2019-01-01 05:50:09,30328384440870,fraud_Emard Inc,gas_transport,32.6,40.029,-93.1607,602,86cad0e7682a85fa6418dde1a0a33a44,1325397009,39.335685,-92.982647,0
2019-01-01 05:59:53,676248282243,"fraud_Rowe, Batz and Goodwin",grocery_pos,83.69,26.6939,-81.9452,156391,a2223d1f957b8950396a5fc124f7e9fd,1325397593,26.686504,-81.299918,0
2019-01-01 06:19:49,6501313409525696,fraud_Marks Inc,gas_transport,75.42,31.4467,-103.5791,12747,eb6d76df190f74112bf7f013e5c0ceec,1325398789,31.153295,-104.021759,0
2019-01-01 06:20:57,3527536963490470,fraud_Murray-Smitham,grocery_pos,89.52,32.9413,-81.1807,1725,dff84789183257794d8c219fade852d8,1325398857,33.936761,-81.678842,0
